PART_NUMBER,PART_SEG,PART_DESCRIPTION,PART_CATEGORY
PAN-SVC-BKLNUSG-VM-200-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid renewal, VM-200",
PAN-SVC-BKLN-VM-200-ENT,PALO,"Partner enabled premium support year 1, VM-200-ENT",
PAN-SVC-BKLN-VM-200-ENT-R,PALO,"Partner enabled premium support year 1 renewal, VM-200-ENT",
PAN-SVC-BKLN-VM-200-ENT-3YR,PALO,"Partner enabled premium support 3 year prepaid, VM-200-ENT",
PAN-SVC-BKLN-VM-200-ENT-3YR-R,PALO,"Partner enabled premium support 3 year prepaid renewal, VM-200-ENT",
,PALO,,
PAN-SVC-BKLN-VM-200-ENT-5YR,PALO,"Partner enabled premium support 5 year prepaid, VM-200-ENT",
PAN-SVC-BKLN-VM-200-ENT-5YR-R,PALO,"Partner enabled premium support 5 year prepaid renewal, VM-200-ENT",
PAN-SVC-BKLNUSG-VM-200-ENT,PALO,"For US Government accounts only. Partner enabled premium support year 1, VM-200-ENT",
PAN-SVC-BKLNUSG-VM-200-ENT-R,PALO,"For US Government accounts only. Partner enabled premium support year 1 renewal, VM-200-ENT",
PAN-SVC-BKLNUSG-VM-200-ENT-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid, VM-200-ENT",
PAN-SVC-BKLNUSG-VM-200-ENT-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid renewal, VM-200-ENT",
PAN-SVC-BKLNUSG-VM-200-ENT-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid, VM-200-ENT",
PAN-SVC-BKLNUSG-VM-200-ENT-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid renewal, VM-200-ENT",
PAN-SVC-BKLN-VM-300,PALO,"Partner enabled premium support year 1, VM-300",
PAN-SVC-BKLN-VM-300-R,PALO,"Partner enabled premium support year 1 renewal, VM-300",
PAN-SVC-BKLN-VM-300-3YR,PALO,"Partner enabled premium support 3 year prepaid, VM-300",
PAN-SVC-BKLN-VM-300-3YR-R,PALO,"Partner enabled premium support 3 year prepaid renewal, VM-300",
PAN-SVC-BKLN-VM-300-5YR,PALO,"Partner enabled premium support 5 year prepaid, VM-300",
PAN-SVC-BKLN-VM-300-5YR-R,PALO,"Partner enabled premium support 5 year prepaid renewal, VM-300",
PAN-SVC-BKLNUSG-VM-300,PALO,"For US Government accounts only. Partner enabled premium support year 1, VM-300",
PAN-SVC-BKLNUSG-VM-300-R,PALO,"For US Government accounts only. Partner enabled premium support year 1 renewal, VM-300",
PAN-SVC-BKLNUSG-VM-300-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid, VM-300",
PAN-SVC-BKLNUSG-VM-300-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid renewal, VM-300",
PAN-SVC-BKLNUSG-VM-300-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid, VM-300",
PAN-SVC-BKLNUSG-VM-300-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid renewal, VM-300",
PAN-SVC-BKLN-VM-300-ENT,PALO,"Partner enabled premium support year 1, VM-300-ENT",
PAN-SVC-BKLN-VM-300-ENT-R,PALO,"Partner enabled premium support year 1 renewal, VM-300-ENT",
PAN-SVC-BKLN-VM-300-ENT-3YR,PALO,"Partner enabled premium support 3 year prepaid, VM-300-ENT",
PAN-SVC-BKLN-VM-300-ENT-3YR-R,PALO,"Partner enabled premium support 3 year prepaid renewal, VM-300-ENT",
PAN-SVC-BKLN-VM-300-ENT-5YR,PALO,"Partner enabled premium support 5 year prepaid, VM-300-ENT",
PAN-SVC-BKLN-VM-300-ENT-5YR-R,PALO,"Partner enabled premium support 5 year prepaid renewal, VM-300-ENT",
PAN-SVC-BKLNUSG-VM-300-ENT,PALO,"For US Government accounts only. Partner enabled premium support year 1, VM-300-ENT",
PAN-SVC-BKLNUSG-VM-300-ENT-R,PALO,"For US Government accounts only. Partner enabled premium support year 1 renewal, VM-300-ENT",
PAN-SVC-BKLNUSG-VM-300-ENT-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid, VM-300-ENT",
PAN-SVC-BKLNUSG-VM-300-ENT-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid renewal, VM-300-ENT",
PAN-SVC-BKLNUSG-VM-300-ENT-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid, VM-300-ENT",
PAN-SVC-BKLNUSG-VM-300-ENT-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid renewal, VM-300-ENT",
PAN-SVC-BKLN-VM-1000-HV,PALO,"Partner enabled premium support year 1, VM-1000-HV",
PAN-SVC-BKLN-VM-1000-HV-R,PALO,"Partner enabled premium support year 1 renewal, VM-1000-HV",
PAN-SVC-BKLN-VM-1000-HV-3YR,PALO,"Partner enabled premium support 3 year prepaid, VM-1000-HV",
PAN-SVC-BKLN-VM-1000-HV-3YR-R,PALO,"Partner enabled premium support 3 year prepaid renewal, VM-1000-HV",
PAN-SVC-BKLN-VM-1000-HV-5YR,PALO,"Partner enabled premium support 5 year prepaid, VM-1000-HV",
PAN-SVC-BKLN-VM-1000-HV-5YR-R,PALO,"Partner enabled premium support 5 year prepaid renewal, VM-1000-HV",
PAN-SVC-BKLNUSG-VM-1000-HV,PALO,"For US Government accounts only. Partner enabled premium support year 1, VM-1000-HV",
PAN-SVC-BKLNUSG-VM-1000-HV-R,PALO,"For US Government accounts only. Partner enabled premium support year 1 renewal, VM-1000-HV",
PAN-SVC-BKLNUSG-VM-1000-HV-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid, VM-1000-HV",
PAN-SVC-BKLNUSG-VM-1000-HV-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid renewal, VM-1000-HV",
PAN-SVC-BKLNUSG-VM-1000-HV-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid, VM-1000-HV",
PAN-SVC-BKLNUSG-VM-1000-HV-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid renewal, VM-1000-HV",
PAN-SVC-BKLN-VM-1000-HV-ENT,PALO,"Partner enabled premium support year 1, VM-1000-HV-ENT",
PAN-SVC-BKLN-VM-1000-HV-ENT-R,PALO,"Partner enabled premium support year 1 renewal, VM-1000-HV-ENT",
PAN-SVC-BKLN-VM-1000-HV-ENT-3YR,PALO,"Partner enabled premium support 3 year prepaid, VM-1000-HV-ENT",
PAN-SVC-BKLN-VM-1000-HV-ENT-3YR-R,PALO,"Partner enabled premium support 3 year prepaid renewal, VM-1000-HV-ENT",
PAN-SVC-BKLN-VM-1000-HV-ENT-5YR,PALO,"Partner enabled premium support 5 year prepaid, VM-1000-HV-ENT",
PAN-SVC-BKLN-VM-1000-HV-ENT-5YR-R,PALO,"Partner enabled premium support 5 year prepaid renewal, VM-1000-HV-ENT",
PAN-SVC-BKLNUSG-VM-1000-HV-ENT,PALO,"For US Government accounts only. Partner enabled premium support year 1, VM-1000-HV-ENT",
PAN-SVC-BKLNUSG-VM-1000-HV-ENT-R,PALO,"For US Government accounts only. Partner enabled premium support year 1 renewal, VM-1000-HV-ENT",
PAN-SVC-BKLNUSG-VM-1000-HV-ENT-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid, VM-1000-HV-ENT",
PAN-SVC-BKLNUSG-VM-1000-HV-ENT-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid renewal, VM-1000-HV-ENT",
PAN-SVC-BKLNUSG-VM-1000-HV-ENT-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid, VM-1000-HV-ENT",
PAN-SVC-BKLNUSG-VM-1000-HV-ENT-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid renewal, VM-1000-HV-ENT",
PAN-SVC-BKLN-WF-500,PALO,"Partner enabled premium support year 1, WF-500",
PAN-SVC-BKLN-WF-500-R,PALO,"Partner enabled premium support renewal, WF-500",
PAN-SVC-BKLN-WF-500-3YR,PALO,"Partner enabled premium support 3-year prepaid, WF-500",
PAN-SVC-BKLN-WF-500-3YR-R,PALO,"Partner enabled premium support 3-year prepaid renewal, WF-500",
PAN-SVC-BKLN-WF-500-5YR,PALO,"Partner enabled premium support 5-year prepaid, WF-500",
PAN-SVC-BKLN-WF-500-5YR-R,PALO,"Partner enabled premium support 5-year prepaid renewal, WF-500",
PAN-SVC-BKLNUSG-WF-500,PALO,"For US Government accounts only. Partner enabled premium support year 1, WF-500",
PAN-SVC-BKLNUSG-WF-500-R,PALO,"For US Government accounts only. Partner enabled premium support renewal, WF-500",
PAN-SVC-BKLNUSG-WF-500-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid, WF-500",
PAN-SVC-BKLNUSG-WF-500-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid renewal, WF-500",
PAN-SVC-BKLNUSG-WF-500-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid, WF-500",
PAN-SVC-BKLNUSG-WF-500-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid renewal, WF-500",
PAN-SVC-BKLN-GP-100-R,PALO,"Partner Enabled Premium Support renewal, GP-100 500 Devices",
PAN-SVC-BKLN-GP-100-3YR-R,PALO,"Partner Enabled Premium Support 3-year prepaid renewal, GP-100 500 Devices",
PAN-SVC-BKLN-GP-100-1K-R,PALO,"Partner Enabled Premium Support renewal, GP-100 1K Devices",
PAN-SVC-BKLN-GP-100-1K-3YR-R,PALO,"Partner Enabled Premium Support 3-year prepaid renewal, GP-100 1K Devices",
PAN-SVC-BKLN-GP-100-2K-R,PALO,"Partner Enabled Premium Support renewal, GP-100 2K Devices",
PAN-SVC-BKLN-GP-100-2K-3YR-R,PALO,"Partner Enabled Premium Support 3-year prepaid renewal, GP-100 2K Devices",
PAN-SVC-BKLN-GP-100-5K-R,PALO,"Partner Enabled Premium Support renewal, GP-100 5K Devices",
PAN-SVC-BKLN-GP-100-5K-3YR-R,PALO,"Partner Enabled Premium Support 3-year prepaid renewal, GP-100 5K Devices",
PAN-SVC-BKLN-GP-100-10K-R,PALO,"Partner Enabled Premium Support renewal, GP-100 10K Devices",
PAN-SVC-BKLN-GP-100-10K-3YR-R,PALO,"Partner Enabled Premium Support 3-year prepaid renewal, GP-100 10K Devices",
PAN-SVC-BKLN-GP-100-25K-R,PALO,"Partner Enabled Premium Support renewal, GP-100 25K Devices",
PAN-SVC-BKLN-GP-100-25K-3YR-R,PALO,"Partner Enabled Premium Support 3-year prepaid renewal, GP-100 25K Devices",
PAN-SVC-BKLN-GP-100-50K-R,PALO,"Partner Enabled Premium Support renewal, GP-100 50K Devices",
PAN-SVC-BKLN-GP-100-50K-3YR-R,PALO,"Partner Enabled Premium Support 3-year prepaid renewal, GP-100 50K Devices",
PAN-SVC-BKLN-GP-100-100K-R,PALO,"Partner Enabled Premium Support renewal, GP-100 100K Devices",
PAN-SVC-BKLN-GP-100-100K-3YR-R,PALO,"Partner Enabled Premium Support 3-year prepaid renewal, GP-100 100K Devices",
PAN-SVC-BKLN-PRA-25,PALO,"Partner enabled premium support year 1, Panorama 25 devices",
PAN-SVC-BKLN-PRA-25-R,PALO,"Partner enabled premium support renewal, Panorama 25 devices",
PAN-SVC-BKLN-PRA-25-3YR,PALO,"Partner enabled premium support 3 year prepaid, Panorama 25 devices",
PAN-SVC-BKLN-PRA-25-3YR-R,PALO,"Partner enabled premium support 3 year prepaid renewal, Panorama 25 devices",
PAN-SVC-BKLN-PRA-25-5YR,PALO,"Partner enabled premium support 5 year prepaid, Panorama 25 devices",
PAN-SVC-BKLN-PRA-25-5YR-R,PALO,"Partner enabled premium support 5 year prepaid renewal, Panorama 25 devices",
PAN-SVC-BKLNUSG-PRA-25,PALO,"For US Government accounts only. Partner enabled premium support year 1, Panorama 25 devices",
PAN-SVC-BKLNUSG-PRA-25-R,PALO,"For US Government accounts only. Partner enabled premium support renewal, Panorama 25 devices",
PAN-SVC-BKLNUSG-PRA-25-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid, Panorama 25 devices",
PAN-SVC-BKLNUSG-PRA-25-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid renewal, Panorama 25 devices",
PAN-SVC-BKLNUSG-PRA-25-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid, Panorama 25 devices",
PAN-SVC-BKLNUSG-PRA-25-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid renewal, Panorama 25 devices",
,PALO,,
PAN-SVC-BKLN-PRA-100,PALO,"Partner enabled premium support year 1, Panorama 100 devices",
PAN-SVC-BKLN-PRA-100-R,PALO,"Partner enabled premium support renewal, Panorama 100 devices",
PAN-SVC-BKLN-PRA-100-3YR,PALO,"Partner enabled premium support 3 year prepaid, Panorama 100 devices",
PAN-SVC-BKLN-PRA-100-3YR-R,PALO,"Partner enabled premium support 3 year prepaid renewal, Panorama 100 devices",
PAN-SVC-BKLN-PRA-100-5YR,PALO,"Partner enabled premium support 5 year prepaid, Panorama 100 devices",
PAN-SVC-BKLN-PRA-100-5YR-R,PALO,"Partner enabled premium support 5 year prepaid renewal, Panorama 100 devices",
PAN-SVC-BKLNUSG-PRA-100,PALO,"For US Government accounts only. Partner enabled premium support year 1, Panorama 100 devices",
PAN-SVC-BKLNUSG-PRA-100-R,PALO,"For US Government accounts only. Partner enabled premium support renewal, Panorama 100 devices",
PAN-SVC-BKLNUSG-PRA-100-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid, Panorama 100 devices",
PAN-SVC-BKLNUSG-PRA-100-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid renewal, Panorama 100 devices",
PAN-SVC-BKLNUSG-PRA-100-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid, Panorama 100 devices",
PAN-SVC-BKLNUSG-PRA-100-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid renewal, Panorama 100 devices",
PAN-SVC-BKLN-PRA-1K,PALO,"Partner enabled premium support year 1, Panorama 1000 devices",
PAN-SVC-BKLN-PRA-1K-R,PALO,"Partner enabled premium support renewal, Panorama 1000 devices",
PAN-SVC-BKLN-PRA-1K-3YR,PALO,"Partner enabled premium support 3 year prepaid, Panorama 1000 devices",
PAN-SVC-BKLN-PRA-1K-3YR-R,PALO,"Partner enabled premium support 3 year prepaid renewal, Panorama 1000 devices",
PAN-SVC-BKLN-PRA-1K-5YR,PALO,"Partner enabled premium support 5 year prepaid, Panorama 1000 devices",
PAN-SVC-BKLN-PRA-1K-5YR-R,PALO,"Partner enabled premium support 5 year prepaid renewal, Panorama 1000 devices",
PAN-SVC-BKLNUSG-PRA-1K,PALO,"For US Government accounts only. Partner enabled premium support year 1, Panorama 1000 devices",
PAN-SVC-BKLNUSG-PRA-1K-R,PALO,"For US Government accounts only. Partner enabled premium support renewal, Panorama 1000 devices",
PAN-SVC-BKLNUSG-PRA-1K-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid, Panorama 1000 devices",
PAN-SVC-BKLNUSG-PRA-1K-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3 year prepaid renewal, Panorama 1000 devices",
PAN-SVC-BKLNUSG-PRA-1K-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid, Panorama 1000 devices",
PAN-SVC-BKLNUSG-PRA-1K-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5 year prepaid renewal, Panorama 1000 devices",
PAN-SVC-BKLN-M-100-P-25,PALO,"Partner enabled premium support year 1, Panorama M-100 25 devices or log collector",
PAN-SVC-BKLN-M-100-P-25-R,PALO,"Partner enabled premium support renewal, Panorama M-100 25 devices or log collector",
PAN-SVC-BKLN-M-100-P-25-3Y,PALO,"Partner enabled premium support 3-year prepaid, Panorama M-100 25 devices or log collector",
PAN-SVC-BKLN-M-100-P-25-3Y-R,PALO,"Partner enabled premium support 3-year prepaid renewal, Panorama M-100 25 devices or log collector",
PAN-SVC-BKLN-M-100-P-25-5Y,PALO,"Partner enabled premium support 5-year prepaid, Panorama M-100 25 devices or log collector",
PAN-SVC-BKLN-M-100-P-25-5Y-R,PALO,"Partner enabled premium support 5-year prepaid renewal, Panorama M-100 25 devices or log collector",
PAN-SVC-BKLNUSG-M-100-P-25,PALO,"For US Government accounts only. Partner enabled premium support year 1, Panorama M-100 25 devices or log collector",
PAN-SVC-BKLNUSG-M-100-P-25-R,PALO,"For US Government accounts only. Partner enabled premium support renewal, Panorama M-100 25 devices or log collector",
PAN-SVC-BKLNUSG-M-100-P-25-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid, Panorama M-100 25 devices or log collector",
PAN-SVC-BKLNUSG-M-100-P-25-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid renewal, Panorama M-100 25 devices or log
collector",
PAN-SVC-BKLNUSG-M-100-P-25-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid, Panorama M-100 25 devices or log collector",
PAN-SVC-BKLNUSG-M-100-P-25-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid renewal, Panorama M-100 25 devices or log
collector",
PAN-SVC-BKLN-M-100-P-100,PALO,"Partner enabled premium support year 1, Panorama M-100 100 devices",
PAN-SVC-BKLN-M-100-P-100-R,PALO,"Partner enabled premium support renewal, Panorama M-100 100 devices",
PAN-SVC-BKLN-M-100-P-100-3Y,PALO,"Partner enabled premium support 3-year prepaid, Panorama M-100 100 devices",
PAN-SVC-BKLN-M-100-P-100-3Y-R,PALO,"Partner enabled premium support 3-year prepaid renewal, Panorama M-100 100 devices",
PAN-SVC-BKLN-M-100-P-100-5Y,PALO,"Partner enabled premium support 5-year prepaid, Panorama M-100 100 devices",
PAN-SVC-BKLN-M-100-P-100-5Y-R,PALO,"Partner enabled premium support 5-year prepaid renewal, Panorama M-100 100 devices",
PAN-SVC-BKLNUSG-M-100-P-100,PALO,"For US Government accounts only. Partner enabled premium support year 1, Panorama M-100 100 devices",
PAN-SVC-BKLNUSG-M-100-P-100-R,PALO,"For US Government accounts only. Partner enabled premium support renewal, Panorama M-100 100 devices",
PAN-SVC-BKLNUSG-M-100-P-100-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid, Panorama M-100 100 devices",
PAN-SVC-BKLNUSG-M-100-P-100-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid renewal, Panorama M-100 100 devices",
PAN-SVC-BKLNUSG-M-100-P-100-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid, Panorama M-100 100 devices",
PAN-SVC-BKLNUSG-M-100-P-100-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid renewal, Panorama M-100 100 devices",
PAN-SVC-BKLN-M-100-P-1K,PALO,"Partner enabled premium support year 1, Panorama M-100 1000 devices",
PAN-SVC-BKLN-M-100-P-1K-R,PALO,"Partner enabled premium support renewal, Panorama M-100 1000 devices",
PAN-SVC-BKLN-M-100-P-1K-3Y,PALO,"Partner enabled premium support 3-year prepaid, Panorama M-100 1000 devices",
PAN-SVC-BKLN-M-100-P-1K-3Y-R,PALO,"Partner enabled premium support 3-year prepaid renewal, Panorama M-100 1000 devices",
PAN-SVC-BKLN-M-100-P-1K-5Y,PALO,"Partner enabled premium support 5-year prepaid, Panorama M-100 1000 devices",
PAN-SVC-BKLN-M-100-P-1K-5Y-R,PALO,"Partner enabled premium support 5-year prepaid renewal, Panorama M-100 1000 devices",
PAN-SVC-BKLNUSG-M-100-P-1K,PALO,"For US Government accounts only. Partner enabled premium support year 1, Panorama M-100 1000 devices",
PAN-SVC-BKLNUSG-M-100-P-1K-R,PALO,"For US Government accounts only. Partner enabled premium support renewal, Panorama M-100 1000 devices",
PAN-SVC-BKLNUSG-M-100-P-1K-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid, Panorama M-100 1000 devices",
PAN-SVC-BKLNUSG-M-100-P-1K-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid renewal, Panorama M-100 1000 devices",
PAN-SVC-BKLNUSG-M-100-P-1K-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid, Panorama M-100 1000 devices",
PAN-SVC-BKLNUSG-M-100-P-1K-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid renewal, Panorama M-100 1000 devices",
PAN-SVC-BKLN-M-500-P-25,PALO,"Partner enabled Premium support, Panorama M-500 25 devices, PAN-DB Private Cloud or log collector",
PAN-SVC-BKLN-M-500-P-25-R,PALO,"Partner enabled Premium support renewal, Panorama M-500 25 devices, PAN-DB Private Cloud or log collector",
PAN-SVC-BKLN-M-500-P-25-3Y,PALO,"Partner enabled Premium support 3-year prepaid, Panorama M-500 25 devices, PAN-DB Private Cloud or log collector",
PAN-SVC-BKLN-M-500-P-25-3Y-R,PALO,"Partner enabled Premium support 3-year prepaid renewal, Panorama M-500 25 devices, PAN-DB Private Cloud or log collector",
PAN-SVC-BKLN-M-500-P-25-5Y,PALO,"Partner enabled Premium support 5-year prepaid, Panorama M-500 25 devices, PAN-DB Private Cloud or log collector",
PAN-SVC-BKLN-M-500-P-25-5Y-R,PALO,"Partner enabled Premium support 5-year prepaid renewal, Panorama M-500 25 devices, PAN-DB Private Cloud or log collector",
PAN-SVC-BKLNUSG-M-500-P-25,PALO,"For US Government accounts only. Partner enabled premium support year 1, Panorama M-500 25 devices or log collector",
PAN-SVC-BKLNUSG-M-500-P-25-R,PALO,"For US Government accounts only. Partner enabled premium support renewal, Panorama M-500 25 devices or log collector",
PAN-SVC-BKLNUSG-M-500-P-25-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid, Panorama M-500 25 devices or log collector",
PAN-SVC-BKLNUSG-M-500-P-25-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid renewal, Panorama M-500 25 devices or log
collector",
PAN-SVC-BKLNUSG-M-500-P-25-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid, Panorama M-500 25 devices or log collector",
PAN-SVC-BKLNUSG-M-500-P-25-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid renewal, Panorama M-500 25 devices or log
collector",
PAN-SVC-BKLN-M-500-P-100,PALO,"Partner enabled Premium support, Panorama M-500 100 devices",
PAN-SVC-BKLN-M-500-P-100-R,PALO,"Partner enabled Premium support renewal, Panorama M-500 100 devices",
PAN-SVC-BKLN-M-500-P-100-3Y,PALO,"Partner enabled Premium support 3-year prepaid, Panorama M-500 100 devices",
PAN-SVC-BKLN-M-500-P-100-3Y-R,PALO,"Partner enabled Premium support 3-year prepaid renewal, Panorama M-500 100 devices",
PAN-SVC-BKLN-M-500-P-100-5Y,PALO,"Partner enabled Premium support 5-year prepaid, Panorama M-500 100 devices",
PAN-SVC-BKLN-M-500-P-100-5Y-R,PALO,"Partner enabled Premium support 5-year prepaid renewal, Panorama M-500 100 devices",
,PALO,,
PAN-SVC-BKLNUSG-M-500-P-100,PALO,"For US Government accounts only. Partner enabled premium support year 1, Panorama M-500 100 devices",
PAN-SVC-BKLNUSG-M-500-P-100-R,PALO,"For US Government accounts only. Partner enabled premium support renewal, Panorama M-500 100 devices",
PAN-SVC-BKLNUSG-M-500-P-100-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid, Panorama M-500 100 devices",
PAN-SVC-BKLNUSG-M-500-P-100-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid renewal, Panorama M-500 100 devices",
PAN-SVC-BKLNUSG-M-500-P-100-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid, Panorama M-500 100 devices",
PAN-SVC-BKLNUSG-M-500-P-100-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid renewal, Panorama M-500 100 devices",
PAN-SVC-BKLN-M-500-P-1K,PALO,"Partner enabled Premium support, Panorama M-500 1K devices",
PAN-SVC-BKLN-M-500-P-1K-R,PALO,"Partner enabled Premium support renewal, Panorama M-500 1K devices",
PAN-SVC-BKLN-M-500-P-1K-3Y,PALO,"Partner enabled Premium support 3-year prepaid, Panorama M-500 1K devices",
PAN-SVC-BKLN-M-500-P-1K-3Y-R,PALO,"Partner enabled Premium support 3-year prepaid renewal, Panorama M-500 1K devices",
PAN-SVC-BKLN-M-500-P-1K-5Y,PALO,"Partner enabled Premium support 5-year prepaid, Panorama M-500 1K devices",
PAN-SVC-BKLN-M-500-P-1K-5Y-R,PALO,"Partner enabled Premium support 5-year prepaid renewal, Panorama M-500 1K devices",
PAN-SVC-BKLNUSG-M-500-P-1K,PALO,"For US Government accounts only. Partner enabled premium support year 1, Panorama M-500 1000 devices",
PAN-SVC-BKLNUSG-M-500-P-1K-R,PALO,"For US Government accounts only. Partner enabled premium support renewal, Panorama M-500 1000 devices",
PAN-SVC-BKLNUSG-M-500-P-1K-3YR,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid, Panorama M-500 1000 devices",
PAN-SVC-BKLNUSG-M-500-P-1K-3YR-R,PALO,"For US Government accounts only. Partner enabled premium support 3-year prepaid renewal, Panorama M-500 1000 devices",
PAN-SVC-BKLNUSG-M-500-P-1K-5YR,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid, Panorama M-500 1000 devices",
PAN-SVC-BKLNUSG-M-500-P-1K-5YR-R,PALO,"For US Government accounts only. Partner enabled premium support 5-year prepaid renewal, Panorama M-500 1000 devices",
PAN-SVC-PREM-PLUS,PALO,"Palo Alto Networks Premium Plus Support, year 1",
PAN-SVC-PREM-PLUS-3YR,PALO,"Palo Alto Networks Premium Plus Support, 3 year prepaid",
PAN-SVC-PREM-PLUS-5YR,PALO,"Palo Alto Networks Premium Plus Support, 5 year prepaid",
PAN-SVC-PREM-PLUS-USG,PALO,"Palo Alto Networks Premium Plus US Government Support, 1 year",
PAN-SVC-PREM-PLUS-USG-3YR,PALO,"Palo Alto Networks Premium Plus US Government Support, 3 year prepaid",
PAN-SVC-PREM-PLUS-USG-5YR,PALO,"Palo Alto Networks Premium Plus US Government Support, 5 year prepaid",
PAN-SVC-GPREM-PLUS,PALO,"Palo Alto Networks Global Premium Plus Support, year 1",
PAN-SVC-GPREM-PLUS-3YR,PALO,"Palo Alto Networks Global Premium Plus Support, 3 year prepaid",
PAN-SVC-GPREM-PLUS-5YR,PALO,"Palo Alto Networks Global Premium Plus Support, 5 year prepaid",
PAN-SVC-PREM-TAM-6MO,PALO,"Palo Alto Networks Premium Technical Account Management, 6 month",
PAN-SVC-PREM-TAM,PALO,"Palo Alto Networks Premium Technical Account Management, Year 1",
PAN-SVC-PREM-TAM-3YR,PALO,"Palo Alto Networks Premium Technical Account Management, 3-year prepaid",
PAN-SVC-PREM-TAM-5YR,PALO,"Palo Alto Networks Premium Technical Account Management, 5-year prepaid",
PAN-SVC-PREMUSG-TAM-6MO,PALO,"Palo Alto Networks Premium US Government Technical Account Management, 6 month",
PAN-SVC-PREMUSG-TAM,PALO,"Palo Alto Networks Premium US Government Technical Account Management, Year 1",
PAN-SVC-PREMUSG-TAM-3YR,PALO,"Palo Alto Networks Premium US Government Technical Account Management, 3-year prepaid",
PAN-SVC-PREMUSG-TAM-5YR,PALO,"Palo Alto Networks Premium US Government Technical Account Management, 5-year prepaid",
PAN-SVC-PREM-GTAM,PALO,"Palo Alto Networks Premium Technical Account Management, Year 1",
